iter	Logloss
0	0.6861949727
1	0.6799943608
2	0.6729166623
3	0.6657442105
4	0.6592988531
5	0.6526800145
6	0.6463773553
7	0.6410668984
8	0.6358107777
9	0.6303787387
10	0.6243899055
11	0.6188324452
12	0.6134979988
13	0.609049634
14	0.6043591517
15	0.5992738513
16	0.5948670323
17	0.5902149109
18	0.5855496735
19	0.5809305619
20	0.5762837173
21	0.5728798932
22	0.5691645055
23	0.5653401849
24	0.5619958612
25	0.558872791
26	0.5553621893
27	0.5519404118
28	0.5492040257
29	0.5456872055
30	0.5428177499
31	0.5397532414
32	0.5372942267
33	0.5343734382
34	0.5313680297
35	0.5291497861
36	0.5263637302
37	0.5241568007
38	0.5221046862
39	0.5193039027
40	0.5170809842
41	0.514386217
42	0.5121551646
43	0.5101511135
44	0.508457487
45	0.5061907541
46	0.5042985229
47	0.5022964839
48	0.50045106
49	0.4989913097
50	0.4972831753
51	0.4954361977
52	0.4937278984
53	0.4921554367
54	0.4906793463
55	0.4894589828
56	0.4877569187
57	0.4859965946
58	0.4847496903
59	0.4836196949
60	0.4820441524
61	0.4804056673
62	0.4788533111
63	0.4778941583
64	0.4769610189
65	0.4756217299
66	0.4742641602
67	0.4734091688
68	0.4720961507
69	0.471291292
70	0.4702415075
71	0.4692530916
72	0.4679148856
73	0.4663601637
74	0.4653450978
75	0.4646674577
76	0.4640144916
77	0.4629547535
78	0.4622127783
79	0.461122861
80	0.4599701404
81	0.4590866504
82	0.4579911132
83	0.4570128092
84	0.4563028512
85	0.4553483734
86	0.4548445556
87	0.4542437761
88	0.4533258922
89	0.4523580068
90	0.4519300819
91	0.4509409411
92	0.4505377255
93	0.4501073237
94	0.4497038194
95	0.4490754031
96	0.4484105618
97	0.4478204353
98	0.4472453164
99	0.4467883671
100	0.4463293435
101	0.4455032636
102	0.4448302139
103	0.444251894
104	0.4436072453
105	0.4428059357
106	0.4423584735
107	0.4415188022
108	0.4411381041
109	0.4406481644
110	0.4399518358
111	0.4393845853
112	0.4389933432
113	0.4385180671
114	0.4383086674
115	0.4380052271
116	0.4375146262
117	0.4371394737
118	0.4365107815
119	0.4361282372
120	0.4357237312
121	0.4353261034
122	0.4348152503
123	0.4346554888
124	0.4342664661
125	0.4339712701
126	0.4335330116
127	0.432998801
128	0.4327318362
129	0.4322554015
130	0.4317119014
131	0.4312004346
132	0.430784338
133	0.4303563275
134	0.4298845583
135	0.4294587267
136	0.4291249762
137	0.4287338772
138	0.4283877416
139	0.4281502802
140	0.4279133238
141	0.4276971669
142	0.427493913
143	0.4270434103
144	0.4264651945
145	0.4261454729
146	0.4257713234
147	0.4254990744
148	0.4251591269
149	0.4246325783
150	0.4244755251
151	0.4241695737
152	0.4238228996
153	0.4233218082
154	0.4230828071
155	0.4228123147
156	0.4225280604
157	0.4222902923
158	0.4220509543
159	0.4216730695
160	0.4214231274
161	0.4210292665
162	0.4208555243
163	0.4206078358
164	0.4204824094
165	0.4203112197
166	0.4198544655
167	0.4195369264
168	0.4193063113
169	0.4188869851
170	0.4187696056
171	0.4183875538
172	0.4183525751
173	0.4181897372
174	0.4179515754
175	0.4177731674
176	0.4176722292
177	0.4174642787
178	0.4172152695
179	0.4169696016
180	0.416814261
181	0.4166808746
182	0.4165689093
183	0.416354135
184	0.4161477537
185	0.4158656789
186	0.4156775717
187	0.4155078031
188	0.4152964437
189	0.4150573307
190	0.4148303887
191	0.4145581035
192	0.4143486139
193	0.4141884434
194	0.4140001698
195	0.4136767848
196	0.413371029
197	0.4130187321
198	0.4128347493
199	0.4125320604
200	0.4123848994
201	0.4122601345
202	0.4121172814
203	0.411667251
204	0.4115819114
205	0.4113938619
206	0.4111397435
207	0.4109805493
208	0.4109165943
209	0.4106212513
210	0.410487142
211	0.4101784386
212	0.4099730135
213	0.4098527312
214	0.4097729483
215	0.40963368
216	0.4094462304
217	0.4092731767
218	0.409221719
219	0.4090246857
220	0.4088913605
221	0.4088017982
222	0.408682103
223	0.4084280617
224	0.4080664254
225	0.4078572986
226	0.4076823513
227	0.4075732664
228	0.4075208318
229	0.4075127529
230	0.4073840104
231	0.4071626644
232	0.4069641883
233	0.4068034274
234	0.4067003912
235	0.4064676625
236	0.4063246879
237	0.4060430535
238	0.4056611528
239	0.4054621131
240	0.4052262924
241	0.4049679505
242	0.4048618148
243	0.4046609341
244	0.4044365102
245	0.4043625693
246	0.404190623
247	0.4040654219
248	0.4039335593
249	0.4038100773
250	0.4036671783
251	0.4034306187
252	0.4031578872
253	0.4030424844
254	0.4028874181
255	0.4027221058
256	0.4026241878
257	0.4024172527
258	0.4023351034
259	0.4022248718
260	0.4020763204
261	0.402000086
262	0.4018745375
263	0.4017552306
264	0.4016360304
265	0.4016152773
266	0.4015332543
267	0.4013830153
268	0.4012861664
269	0.4010695233
270	0.4010409526
271	0.4009022241
272	0.4007266633
273	0.4006069953
274	0.4004822812
275	0.4003132509
276	0.4003042005
277	0.4000895952
278	0.3998752018
279	0.3997593977
280	0.3996230759
281	0.3995665837
282	0.3994452271
283	0.3993613143
284	0.399107996
285	0.3990057489
286	0.3989463248
287	0.3988057247
288	0.3987342999
289	0.3985871646
290	0.3985166076
291	0.3983956647
292	0.39827569
293	0.3981689127
294	0.3981363032
295	0.3980396255
296	0.3979680163
297	0.3977505577
298	0.3976113419
299	0.3975064335
300	0.3974778529
301	0.3973372097
302	0.3972087135
303	0.3971194219
304	0.39698393
305	0.3969138037
306	0.3968464141
307	0.396669923
308	0.3964474847
309	0.396334647
310	0.3961519468
311	0.3960944104
312	0.3960367686
313	0.3958923993
314	0.3957622367
315	0.395649434
316	0.3954502954
317	0.3952611208
318	0.3951885166
319	0.3951021591
320	0.395060958
321	0.3948121639
322	0.3947199788
323	0.3946949465
324	0.3945885529
325	0.3944983766
326	0.3944152869
327	0.3942290361
328	0.3941837419
329	0.3940615993
330	0.3938767987
331	0.3938246951
332	0.3937818727
333	0.3936384984
334	0.3934953768
335	0.3934180557
336	0.3932835715
337	0.3932182807
338	0.3931534537
339	0.3930575712
340	0.392969453
341	0.3928738519
342	0.3927916183
343	0.3926686422
344	0.3926634557
345	0.3926430742
346	0.3926134839
347	0.3924874671
348	0.3924491134
349	0.3922636592
350	0.3921786644
351	0.3920972541
352	0.3920540136
353	0.3919167056
354	0.3917342658
355	0.3915926903
356	0.3914242232
357	0.3911635044
358	0.3911582798
359	0.3910134575
360	0.3909998973
361	0.3908159637
362	0.390726989
363	0.3906180436
364	0.390618016
365	0.3905502783
366	0.3905502507
367	0.3904894999
368	0.3903657457
369	0.3903367864
370	0.3902928157
371	0.3901572674
372	0.3900775269
373	0.3899508735
374	0.3899054423
375	0.3897707091
376	0.3896836643
377	0.3895649473
378	0.3894885819
379	0.3894386026
380	0.3893921581
381	0.3891575053
382	0.3887109734
383	0.3885988394
384	0.3885725973
385	0.3884780715
386	0.3883742039
387	0.3883234717
388	0.3881868175
389	0.3880439145
390	0.3879409822
391	0.3878390868
392	0.3878008841
393	0.3876906153
394	0.3874967023
395	0.3874764876
396	0.3874557474
397	0.3873269024
398	0.3872603024
399	0.3871936026
400	0.386950265
401	0.3868527762
402	0.3868228113
403	0.3866695311
404	0.3864426739
405	0.3864395587
406	0.3863570242
407	0.386268495
408	0.3862142251
409	0.3861353417
410	0.386001305
411	0.3858248401
412	0.3857294219
413	0.3856707659
414	0.385664445
415	0.3855851413
416	0.3855149195
417	0.385456697
418	0.3854253344
419	0.3854068647
420	0.3853528142
421	0.3852515755
422	0.3851741069
423	0.3851500797
424	0.3851059416
425	0.3848979419
426	0.3848309399
427	0.3847645094
428	0.3845668089
429	0.3843758848
430	0.3843281831
431	0.3842486665
432	0.3842123798
433	0.3840135332
434	0.3839192205
435	0.3838451427
436	0.383775962
437	0.3835912918
438	0.3835883337
439	0.3835278409
440	0.3834372167
441	0.3833437666
442	0.3832769739
443	0.3832624817
444	0.383186875
445	0.3831463912
446	0.3831436055
447	0.3830878219
448	0.3828482241
449	0.3827924456
450	0.3826867039
451	0.3826231784
452	0.3825031469
453	0.3824942412
454	0.3822664885
455	0.382074055
456	0.3820056501
457	0.3819086136
458	0.3819048899
459	0.3818179116
460	0.3816190207
461	0.3815647982
462	0.381489682
463	0.3813543284
464	0.3813354098
465	0.3811632664
466	0.3811136974
467	0.3810242801
468	0.3809508793
469	0.3808939144
470	0.3808590442
471	0.3807551637
472	0.3806756883
473	0.3804500801
474	0.3802302878
475	0.3801740975
476	0.3801078837
477	0.3800419895
478	0.3799854053
479	0.3799213428
480	0.3798441612
481	0.3797682345
482	0.3796892752
483	0.3795915582
484	0.3795505031
485	0.379475304
486	0.3793359417
487	0.3793184161
488	0.3792879483
489	0.3792376778
490	0.3791332162
491	0.3790920074
492	0.3790088855
493	0.3789362213
494	0.3788038649
495	0.3787555175
496	0.3787350409
497	0.3787149084
498	0.3785538372
499	0.3785471336
500	0.3784673395
501	0.3783941946
502	0.3783612463
503	0.3782645609
504	0.3782224218
505	0.3781514427
506	0.3780966836
507	0.3780169673
508	0.377954938
509	0.3779001827
510	0.3777734667
511	0.3777250156
512	0.3776916815
513	0.3775290473
514	0.3774141859
515	0.377303776
516	0.377229037
517	0.3771801796
518	0.377117651
519	0.3769979981
520	0.3769546212
521	0.3768980829
522	0.3768624873
523	0.3766425541
524	0.3765024557
525	0.3764991192
526	0.3764288494
527	0.3763694961
528	0.3763316031
529	0.3762405833
530	0.3761644288
531	0.376099215
532	0.3759865604
533	0.3758738262
534	0.3758181509
535	0.375660098
536	0.3755371839
537	0.3754494171
538	0.3754142589
539	0.3754116711
540	0.3754114892
541	0.3754089739
542	0.3753657681
543	0.3753356905
544	0.3751367944
545	0.3751013027
546	0.3748550333
547	0.3748026632
548	0.3747411512
549	0.374684548
550	0.3744902266
551	0.374456047
552	0.374388333
553	0.3743506546
554	0.3742851558
555	0.3741830267
556	0.3740802423
557	0.3739386724
558	0.3738731342
559	0.3738193633
560	0.3736990175
561	0.3735041345
562	0.3734709624
563	0.3733675475
564	0.373268279
565	0.3731864603
566	0.3731330139
567	0.3730646607
568	0.3729957795
569	0.3729737561
570	0.3729265887
571	0.3728597172
572	0.3727839373
573	0.3726453839
574	0.3726217701
575	0.3725542749
576	0.37251622
577	0.3723331444
578	0.3722949101
579	0.372177836
580	0.3719916234
581	0.3719573268
582	0.3718589849
583	0.3718183587
584	0.3717987526
