iter	Passed	Remaining
0	174	174220
1	179	89322
2	189	63044
3	203	50582
4	217	43201
5	255	42301
6	269	38226
7	277	34352
8	298	32891
9	312	30981
10	326	29366
11	349	28766
12	363	27571
13	377	26554
14	391	25731
15	429	26434
16	461	26659
17	486	26540
18	501	25870
19	514	25220
20	528	24656
21	539	23979
22	552	23460
23	559	22753
24	572	22331
25	586	21960
26	600	21654
27	607	21106
28	628	21055
29	641	20749
30	655	20492
31	683	20683
32	696	20399
33	717	20389
34	731	20174
35	736	19710
36	749	19514
37	765	19368
38	809	19955
39	826	19824
40	840	19661
41	857	19558
42	873	19450
43	889	19335
44	894	18986
45	908	18850
46	920	18671
47	932	18495
48	952	18483
49	960	18241
50	975	18144
51	997	18193
52	1012	18092
53	1027	17995
54	1062	18253
55	1066	17983
56	1080	17878
57	1112	18062
58	1133	18081
59	1147	17973
60	1161	17875
61	1176	17802
62	1190	17709
63	1195	17479
64	1202	17293
65	1218	17246
66	1250	17420
67	1258	17247
68	1271	17162
69	1276	16957
70	1300	17014
71	1314	16942
72	1328	16869
73	1342	16799
74	1352	16685
75	1373	16701
76	1378	16518
77	1391	16447
78	1402	16347
79	1416	16287
80	1430	16228
81	1444	16168
82	1458	16115
83	1473	16067
84	1486	16004
85	1500	15942
86	1513	15883
87	1527	15831
88	1548	15851
89	1562	15797
90	1566	15650
91	1580	15596
92	1584	15455
93	1591	15342
94	1599	15232
95	1643	15473
96	1656	15422
97	1668	15356
98	1682	15315
99	1701	15315
100	1727	15374
101	1741	15328
102	1754	15283
103	1768	15238
104	1782	15191
105	1796	15151
106	1810	15108
107	1824	15065
108	1837	15023
109	1851	14981
110	1865	14939
111	1891	14996
112	1905	14953
113	1918	14912
114	1926	14823
115	1937	14764
116	1950	14721
117	1958	14641
118	1973	14607
119	1990	14593
120	2005	14569
121	2020	14542
122	2044	14576
123	2048	14474
124	2063	14447
125	2078	14419
126	2094	14396
127	2110	14374
128	2126	14356
129	2140	14326
130	2156	14308
131	2180	14339
132	2197	14326
133	2220	14347
134	2252	14432
135	2271	14431
136	2284	14393
137	2298	14357
138	2325	14405
139	2354	14464
140	2367	14424
141	2375	14350
142	2388	14312
143	2401	14277
144	2415	14240
145	2428	14204
146	2441	14167
147	2454	14129
148	2467	14094
149	2483	14074
150	2497	14042
151	2540	14175
152	2554	14143
153	2568	14111
154	2582	14080
155	2596	14047
156	2622	14080
157	2647	14108
158	2661	14075
159	2674	14041
160	2688	14008
161	2701	13976
162	2722	13981
163	2738	13959
164	2752	13931
165	2769	13915
166	2788	13909
167	2826	13996
168	2840	13967
169	2853	13933
170	2868	13904
171	2882	13874
172	2886	13799
173	2896	13751
174	2910	13721
175	2924	13692
176	2937	13660
177	2951	13630
178	2965	13600
179	2978	13567
180	2992	13539
181	3005	13510
182	3020	13484
183	3034	13456
184	3055	13459
185	3069	13432
186	3083	13406
187	3097	13378
188	3111	13352
189	3125	13324
190	3139	13296
191	3154	13273
192	3169	13251
193	3185	13235
194	3200	13212
195	3218	13202
196	3248	13242
197	3276	13269
198	3291	13249
199	3307	13229
200	3320	13199
201	3334	13171
202	3354	13170
203	3369	13146
204	3376	13095
205	3402	13114
206	3416	13090
207	3430	13061
208	3440	13021
209	3453	12993
210	3467	12966
211	3479	12934
212	3491	12901
213	3506	12878
214	3524	12867
215	3538	12842
216	3551	12815
217	3561	12777
218	3567	12723
219	3591	12734
220	3605	12707
221	3616	12674
222	3629	12647
223	3643	12623
224	3658	12602
225	3683	12616
226	3700	12602
227	3728	12625
228	3739	12590
229	3746	12543
230	3760	12520
231	3777	12506
232	3793	12486
233	3831	12540
234	3844	12515
235	3873	12538
236	3914	12603
237	3928	12578
238	3949	12577
239	3964	12553
240	3977	12527
241	3997	12520
242	4011	12495
243	4039	12516
244	4053	12491
245	4067	12468
246	4100	12500
247	4114	12475
248	4128	12451
249	4175	12527
250	4190	12503
251	4205	12482
252	4219	12457
253	4232	12431
