order_id_new;order_try_id_new;calc_created;metered_price;upfront_price;distance;duration;gps_confidence;entered_by;b_state;dest_change_number;prediction_price_type;predicted_distance;predicted_duration;change_reason_pricing;device_token;rider_app_version;order_state;order_try_state;driver_app_version;driver_device_uid_new;device_name;eu_indicator;overpaid_ride_ticket;fraud_score;cnt;time;hour;month;over_distance;over_duration;over_price
22;22;2020-02-02 03:37:31;4.04;10.0;2839;700;1;client;finished;1;upfront;13384.0;1091.0;;;CI.4.17;finished;finished;DA.4.37;1596;Xiaomi Redmi 6;1;0;-1383.0;1.0;03:37:31;3;2;-10545.0;-391.0;5.96
618;618;2020-02-08 02:26:19;6.09;3.6;5698;493;1;client;finished;1;upfront;2286.0;360.0;;;CA.5.43;finished;finished;DA.4.39;1578;Samsung SM-G965F;1;0;;1.0;02:26:19;2;2;3412.0;133.0;-2.4899999999999998
657;657;2020-02-08 11:50:35;4.32;3.5;4426;695;1;client;finished;1;upfront;4101.0;433.0;;;CA.5.43;finished;finished;DA.4.37;951;Samsung SM-A530F;1;0;-166.0;2.0;11:50:35;11;2;325.0;262.0;-0.8200000000000003
313;313;2020-02-05 06:34:54;72871.72;;49748;1400;0;client;finished;2;upfront_destination_changed;3017.0;600.0;client_destination_changed;;CA.5.23;finished;finished;DA.4.37;1587;TECNO-Y6;0;1;;1.0;06:34:54;6;2;46731.0;800.0;
1176;1176;2020-02-13 17:31:24;20032.5;19500.0;10273;5067;1;client;finished;1;upfront;14236.0;2778.0;;;CA.5.04;finished;finished;DA.4.37;433;Itel W5504;0;0;;1.0;17:31:24;17;2;-3963.0;2289.0;-532.5
1209;1209;2020-02-14 01:27:01;6.11;6.3;4924;513;1;client;finished;1;upfront;4882.0;562.0;;;CA.5.04;finished;finished;DA.4.39;1591;HUAWEI WAS-LX1;1;0;;1.0;01:27:01;1;2;42.0;-49.0;0.1899999999999995
761;761;2020-02-09 06:51:20;20753.2;10500.0;10459;1874;1;client;finished;1;upfront;4892.0;698.0;;;CI.4.17;finished;finished;DA.4.19;982;TECNO MOBILE LIMITED TECNO KA7O;0;0;;5.0;06:51:20;6;2;5567.0;1176.0;-10253.2
1662;1662;2020-02-17 18:24:45;2.61;6.5;2020;412;1;client;finished;1;upfront;8545.0;888.0;;;CI.4.18;finished;finished;DA.4.37;1701;Samsung SM-N950F;1;0;-2350.0;1.0;18:24:45;18;2;-6525.0;-476.0;3.89
1904;1904;2020-02-20 16:38:34;13600.5;;9540;1917;1;client;finished;1;prediction;11018.0;1914.0;;;CA.5.40;finished;finished;DA.4.31;605;TECNO K7;0;0;;2.0;16:38:34;16;2;-1478.0;3.0;
1999;1999;2020-02-21 11:02:38;4.14;2.5;3845;720;1;client;finished;1;upfront;1883.0;298.0;;;CI.4.18;finished;finished;DA.4.39;1960;Samsung SM-G930F;1;0;-5181.0;1.0;11:02:38;11;2;1962.0;422.0;-1.6399999999999997
2366;2366;2020-02-24 08:51:31;8.04;8.1;9977;1257;1;client;finished;1;upfront;9891.0;1282.0;;;CA.5.44;finished;finished;DA.4.39;1339;HUAWEI BLA-L29;1;0;-652.0;1.0;08:51:31;8;2;86.0;-25.0;0.0600000000000005
2803;2803;2020-02-29 01:44:16;18.8;;17107;1552;1;client;finished;2;upfront_destination_changed;11054.0;962.0;client_destination_changed;;CI.4.17;finished;finished;DA.4.37;1695;LENOVO Lenovo TB-7304F;1;0;-100.0;1.0;01:44:16;1;2;6053.0;590.0;
3313;3313;2020-03-06 00:29:03;31.23;;54757;6581;1;driver;finished;3;upfront_destination_changed;13878.0;1381.0;driver_destination_changed;;CI.4.19;finished;finished;DA.4.39;1459;Samsung SM-G950F;1;0;-58.0;4.0;00:29:03;0;3;40879.0;5200.0;
3299;3299;2020-03-05 18:52:48;7.65;6.3;13355;1335;1;client;finished;1;upfront;11823.0;888.0;;;CA.5.32;finished;finished;DI.3.37;214;iPhone9,3;1;0;-44.0;1.0;18:52:48;18;3;1532.0;447.0;-1.3500000000000005
3675;3675;2020-03-09 10:50:57;8.53;;11456;1205;1;driver;finished;2;upfront_destination_changed;11482.0;1179.0;driver_destination_changed;;CI.4.19;finished;finished;DA.4.42;629;Samsung SM-J610FN;1;0;-498.0;1.0;10:50:57;10;3;-26.0;26.0;
3638;3638;2020-03-08 21:01:19;13643.28;;10365;1533;1;client;finished;1;prediction;9088.0;1175.0;;;CI.4.19;finished;finished;DA.4.39;1968;TECNO MOBILE LIMITED TECNO CC7;0;0;;3.0;21:01:19;21;3;1277.0;358.0;
3797;3797;2020-03-10 16:32:01;8.49;8.7;9276;1555;1;client;finished;1;upfront;8781.0;1733.0;;;CA.5.46;finished;finished;DA.4.42;1889;Samsung SM-J730F;1;0;;2.0;16:32:01;16;3;495.0;-178.0;0.20999999999999908
3406;3406;2020-03-06 20:24:49;4.6;4.5;5278;662;1;client;finished;1;upfront;5632.0;546.0;;;CA.5.46;finished;finished;DA.4.42;1392;Samsung SM-A500FU;1;0;;1.0;20:24:49;20;3;-354.0;116.0;-0.09999999999999964
73;73;2020-02-02 14:46:22;15.67;;22396;2237;1;client;finished;2;upfront_destination_changed;9713.0;802.0;client_destination_changed;;CA.5.40;finished;finished;DA.4.37;2110;Samsung SM-G965F;1;0;-160.0;2.0;14:46:22;14;2;12683.0;1435.0;
91;91;2020-02-02 17:29:02;2.97;;1754;491;1;driver;finished;2;upfront_destination_changed;1460.0;244.0;driver_destination_changed;;CA.5.42;finished;finished;DA.4.37;1784;Samsung SM-G398FN;1;0;0.0;1.0;17:29:02;17;2;294.0;247.0;
1136;1136;2020-02-13 08:25:56;8.83;8.9;13053;1058;1;client;finished;1;upfront;12982.0;1080.0;;;CI.4.17;finished;finished;DA.4.39;1605;HUAWEI POT-LX1;1;0;-240.0;1.0;08:25:56;8;2;71.0;-22.0;0.07000000000000028
986;986;2020-02-11 15:53:14;7.29;5.3;6499;1541;1;client;finished;1;upfront;4714.0;1052.0;;;CA.5.43;finished;finished;DA.4.37;550;Samsung SM-A705FN;1;0;-3526.0;1.0;15:53:14;15;2;1785.0;489.0;-1.9900000000000002
1792;1792;2020-02-19 10:04:18;4.39;3.0;3921;810;1;client;finished;1;upfront;2313.0;511.0;;;CI.4.04;finished;finished;DA.4.31;874;Samsung SM-J610FN;1;0;-814.0;1.0;10:04:18;10;2;1608.0;299.0;-1.3899999999999997
1780;1780;2020-02-19 08:04:36;4.36;3.6;4858;639;1;client;finished;1;upfront;2891.0;676.0;;;CA.4.47;finished;finished;DA.4.39;1106;HUAWEI LYA-L29;1;0;;1.0;08:04:36;8;2;1967.0;-37.0;-0.7600000000000002
1448;1448;2020-02-15 14:29:28;13.75;6.3;18706;2087;1;client;finished;1;upfront;8233.0;848.0;;;CA.5.43;finished;finished;DA.4.39;1432;Samsung SM-T285;1;0;-6.0;2.0;14:29:28;14;2;10473.0;1239.0;-7.45
1947;1947;2020-02-20 23:35:53;2.0;10.4;24;29;1;client;finished;1;upfront;21179.0;1346.0;;;CA.5.44;finished;finished;DI.3.31;207;iPhone9,3;1;0;-238.0;1.0;23:35:53;23;2;-21155.0;-1317.0;8.4
1964;1964;2020-02-21 06:40:32;3.92;3.9;2412;613;1;client;finished;1;upfront;2403.0;590.0;;;CA.5.43;finished;finished;DA.4.39;1497;Samsung SM-J510FN;1;0;;1.0;06:40:32;6;2;9.0;23.0;-0.020000000000000018
2439;2439;2020-02-25 07:40:09;14863.5;;9657;2547;0;client;finished;1;prediction;9657.0;1491.0;;;CA.5.44;finished;finished;DA.4.39;2009;INFINIX MOBILITY LIMITED Infinix X606C;0;0;;3.0;07:40:09;7;2;0.0;1056.0;
